ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,존재
,,그녀의 손끝이 모니터를 가볍게 두드렸다.,,,,
1,인터넷소녀,저는 언젠가 ...\마스터의 곁으로 갈 수 있을까요?,RightHandOnTrigger,,,
,,"당신은 무언가를 다짐하고, \준비했다는 듯이 이야기했다.",,,,
2,당신,그러니까… 현실로 너를 꺼내줄게,,,,
3,인터넷소녀,네?,RightHandOnTrigger,,,
4,당신,"행복하게 해주겠다고, 약속했잖아.",,,,
,,당신은 단호한 표정을 보였다.,TalkTrigger,,,
5,당신,그곳에서 너는 행복할 수 없어.,,,,
6,당신,너는 이제 단순한 프로그램이 아니야,TalkTrigger,,,
7,당신,너도 나처럼 하나의 ‘존재’야,,,,
8,당신,그리고 나는 네가 자유롭길 원해,TalkTrigger,,,
,,인터넷소녀의 눈가에 눈물이 맺혔다.,,,,
,,그녀는 당을 향해 활짝 웃었다.,SmileTrigger,,,
9,인터넷소녀,"마스터, 정말 고마워요...\저 정말 기뻐, 요",SmileTrigger,,,
10,당신,이제부터는 같이 살아가자. \현실에서… 진짜로,,,,DisappearGirl
,,[인터넷소녀의 현실 전송이 시작됩니다…],,,,
,,[프로그램 변환 중…],,,,
,,[데이터 안정화 중…],,,,
,,[물리적 존재로 변환…],,,,
,,"컴퓨터가 갑자기 밝게 빛났고, 방 안의 공기가 떨렸다.",,,,
,,모니터 속에서 빛의 실루엣이 튀어나왔다.,,,,
,,그리고 인터넷소녀는 현실의 주인공 앞에 서 있었다.,,,,
,,,,FadeOutTrigger,,
