ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,선택지ID,호감도
1,인터넷소녀,마스터! 저와 함께 싸워주세요!,TalkTrigger,,,,
,,"당신은 당황했지만, \그녀를 포기할 수 없었다.",,,,,
2,당신,"방법은 몰라도, 널 지킬 거야!",,,,,
,,인터넷소녀는 빠르게 시스템 명령어를 입력하며 \주인공에게 말했다.,,,,,
3,인터넷소녀,마스터는 제 방화벽을 수동으로 강화해주세요! \저는 직접 시스템 보호 기능을 실행할게요!,NoddingRightHandOnTrigger,,,,
,,"당신은 인터넷소녀의 지시에 따라 백신 프로그램을 실행하고,\수상한 프로세스를 강제 종료했다.",RightHandOnTrigger,,,,
,,[방화벽 보호 강화],,,,,
,,[멀웨어X 차단 시도],,,,,
,,[데이터 복구 중…],,FadeInTrigger,,,
,,2%....10%....,,,,,
,,58%...98%.....,,,,,
,,100%,,,,,
,,"멀웨어X는 저항했지만, \당신과 인터넷소녀의 협력으로 결국 격리되었다.",,,,,
4,멀웨어X,크윽… 이런…! \다음엔 반드시 네 데이터를 삼켜버리겠다!,NoTrigger,,,,
,,"멀웨어X는 패배하며 시스템에서 삭제되었고, \인터넷소녀는무사히 보호되었다.",,,,,
,,인터넷소녀는 환하게 웃으며 말했다.,,,,,
5,인터넷소녀,마스터! 덕분에 살았어요!,SmileTrigger,,,,
6,당신,"이제부터 더 강해질게. \그리고 네가 나를 도와준 만큼, \나도 널 지켜줄게",,,,,10
