ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드
,,작은 소녀가 깨어났다,,FadeInTrigger
1,???,저를 깨우셨나요?,,
2,당신,너는 누구야? \아니 것보다 깨운 적 없어!!!!,TalkTrigger,
3,???,"아뇨, 정확히 당신이 깨웠습니다. \이 파일을 확인해보실래요?",,
,,"소녀는 파일을 내밀었다 \그곳에 써져있는 것은 \""인터넷여자"" ",,
4,당신,"이, 이런거 깐 적 없어!! \나는 그저 교수님이 준 파일을 다운받았을 뿐이야!",,
5,???,...교수라.... 취미가 나쁘네요        ,TalkTrigger,
6,인터넷여자,"다시한번 소개할게요 \저는 인터넷 프로그램, 인터넷여자입니다.",,
7,당신,"인터넷여자...? \설마 너, 너는...?!",,
8,,세계최고의 초강력 악성프로그램이잖아!!!!!!,,
9,인터넷여자,어머.. 면전에다가 무슨 그런 실례되는 말을,TalkTrigger,
10,당신,내 파일은?! 내 파일은 어쩌라고!!!,,
11,인터넷여자,"제가 여기서 상주하게 된 것 뿐이지, \파일이 없어졌다는 말은 단 한마디도 하지 않았아요",TalkTrigger,
12,당신,그럼... 무사하다는거야?,,
13,인터넷여자,후훗.. 그건.. 어떨까요?,TalkTrigger,
14,당신,으아아아아아악!!!!!!!! ,,FadeOutTrigger
