ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트
,,"잠시후, 당신은 인터넷여자에게 부탁을 하면, \그 프로그램을 꺼내주는게 가능하다는 설명을 듣는다.",,FadeInTrigger,
,,"그러니 논문, 과제 파일에는 문제 없다는 얘기를 듣고, \당신은 안심한다",,,
1,당신,그럼... 내 논문 파일에는 문제 없다는거지?,,,
2,인터넷소녀,네 마스터 - 그렇다니까요?,TalkTrigger,,
3,당신,다행이다..,,,
4,인터넷소녀,"그럼, 지금부터 자료조사 시작하겠습니다 -!",,,
5,당신,(그것까지 도와주는거야...?),,,
6,당신,으... 응!,,,
,,,,FadeInTrigger,
7,인터넷소녀,자료조사 끝!,,,
8,인터넷소녀,제 성능 어떠세요 마스터?,RightHandOnTrigger,,
9,인터넷소녀,나쁘지 않죠?,,,
10,당신,"응, 대단해. 이정도일줄이야...",,,
,,그렇게 당신과 인터넷소녀는 힘을 합쳐 \과제를 하기 시작했다,,,
,,,,,Event1
